,track,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,top100,top10
178,Don't Look Down ,Martin Garrix,0.684,0.71,11,-3.614,0,0.0779,0.0132,0.0,0.444,0.451,93,222187,4,0,0
179,Animals ,Martin Garrix,0.723,0.809,7,-3.081,0,0.0625,0.00346,0.00123,0.565,0.274,98,176561,4,0,0
180,Headlights ,Robin Schulz,0.548,0.723,6,-6.002,1,0.0375,0.0969,1.28e-05,0.337,0.499,125,179960,4,0,0
181,Walk,Kwabs,0.506,0.805,1,-4.119,1,0.0469,0.00711,0.00193,0.0856,0.383,126,227074,4,0,0
182,Often ,The Weeknd,0.572,0.786,7,-4.497,1,0.0334,0.0271,0.0,0.713,0.224,129,219535,4,0,0
183,Vision,Gemini,0.727,0.828,4,-3.459,1,0.0572,0.00982,0.0,0.0591,0.393,128,264375,4,0,0
184,Jealous,Nick Jonas,0.736,0.761,4,-5.449,0,0.0338,0.0966,0.0,0.0823,0.114,120,238427,4,0,0
185,Lean On ,Major Lazer,0.544,0.87,8,-6.103,1,0.26,0.0015,2.8e-06,0.246,0.502,130,210093,4,0,0
186,Sun Goes Down ,Robin Schulz,0.688,0.694,9,-5.335,0,0.0451,0.00792,0.0117,0.365,0.576,128,347280,4,0,0
187,Runaway ,Galantis,0.719,0.861,11,-6.317,0,0.0462,0.0868,0.0,0.108,0.51,120,207040,4,0,0
188,Young Again,Hardwell,0.693,0.727,10,-5.364,0,0.0749,0.00365,0.0,0.0576,0.746,122,194773,4,0,0
189,Soundwave ,R3HAB,0.742,0.706,0,-4.6,0,0.0433,0.0141,0.00568,0.133,0.478,128,230747,4,0,0
190,Talking Body,Tove Lo,0.797,0.608,6,-6.096,0,0.0584,0.00112,7.66e-05,0.0748,0.402,128,279507,4,0,0
191,Memories ,David Guetta,0.432,0.781,4,-4.038,0,0.0567,0.041,4.21e-06,0.0789,0.197,139,250286,4,0,0
192,Follow You Down,Zedd,0.656,0.956,7,-3.635,1,0.0699,0.0362,0.0384,0.138,0.54,128,217413,4,0,0
193,One More Day ,Example,0.599,0.869,0,-3.697,1,0.0789,0.0525,0.00719,0.103,0.593,108,193333,4,0,0
194,Feelings,Maroon 5,0.693,0.727,10,-5.364,0,0.0749,0.00365,0.0,0.0576,0.746,122,194773,4,0,0
195,Crazy Kids,Kesha,0.742,0.706,0,-4.6,0,0.0433,0.0141,0.00568,0.133,0.478,128,230747,4,0,0
196,#thatPOWER,will.i.am,0.797,0.608,6,-6.096,0,0.0584,0.00112,7.66e-05,0.0748,0.402,128,279507,4,0,0
197,Where Are Ü Now ,Jack Ü,0.432,0.781,4,-4.038,0,0.0567,0.041,4.21e-06,0.0789,0.197,139,250286,4,0,0
198,Fall Into The Sky,Zedd,0.656,0.956,7,-3.635,1,0.0699,0.0362,0.0384,0.138,0.54,128,217413,4,0,0
199,Bang My Head ,David Guetta,0.599,0.869,0,-3.697,1,0.0789,0.0525,0.00719,0.103,0.593,108,193333,4,0,0
200,Ghost Town,Adam Lambert,0.703,0.736,4,-5.709,0,0.046,0.186,1.92e-05,0.174,0.274,120,208330,4,0,0
201,Cheerleader ,OMI,0.78,0.68,4,-6.081,1,0.0305,0.141,1.2e-05,0.138,0.594,118,180560,4,0,0
202,Runaway,Electric Youth,0.603,0.759,0,-7.596,1,0.0329,0.212,0.0103,0.142,0.198,125,220613,4,0,0
203,Faded,ZHU,0.867,0.477,9,-7.183,0,0.049,0.00843,0.175,0.113,0.614,125,223480,4,0,0
